tweetid|user|text
968489912579317760|StrHon2016|RT @MarcMoyer: MORE: 🔹Student Anti-Gun Activist Appeared on CBS SIX Months Ago, Is Seemingly Being Coached Through Media Interviews🔹 🐇#Pa…
968489912227057666|Anna53678359|RT @sjredmond: Now would be a good time to call your representatives and remind them that you’re not going to vote for politicians who don’…
968489915817299969|prchrman99|"@CBSThisMorning   Why hasn't any of the media interviewed ""ol' bubba"" about gun control? #guncontrol #ParklandShooting #allinclusive"
968489919357378561|ArtistiqueJ|@MissMandi00 #GunControl, #Schoolshooting , #greatAwakening MSM and leftist are the ones deciding what is considere… https://t.co/quoenSU9G8
968489919814553600|bigshowfishin|RT @friendlypuggo: The one and only Pave- give this a listen. He’s a very wise man.👇🏻👇🏻👇🏻 https://t.co/CEJeRvD0H9
968489930396786688|dtheals1776|https://t.co/8jFzKw64Yc #Guncontrol per #AllintheFamily
968489930786668544|cbcwatcher8|RT @jb_in_motion: @mrshellwinger @timlaunhardt @davidhogg111 I live here in Israel (for some decades already). @timlaunhardt is totally inc…
968489941713014785|re_si_st|RT @lift1another: #BoycottFedEx #BoycottFedEx #BoycottFedEx #BoycottFedEx #BoycottFedEx #BoycottFedEx #BoycottFedEx #NeverAgain #GunReformN…
968489956996984834|mjbroder|RT @VA_Amilyn_Holdo: #IWasAMarine or as we say, once a Marine always a MarineLong before I joined the NRA was about gun safety &amp; educatio…
968489957064167425|MarkMacias|My column in DailyCaller - How Millennials can change the gun debate. #boycottnra #guncontrol #gundebate… https://t.co/H4eOtI9S6w
968489961866612736|Vigilant_Stoner|#GunControl https://t.co/TdIHBKtM3V via @YouTube
968489986470371328|CoetVooruit|Ain't it funny how #Trump diverted everybody's attention off of #GunControl onto the Boward County Sheriff? Get it… https://t.co/j6QXnS5Tio
968489989792288769|teaandmagnolias|RT @sjredmond: Now would be a good time to call your representatives and remind them that you’re not going to vote for politicians who don’…
968489990559846400|EllaaaCruzzz|@McNaughtonArt I am the FlagI am the AnthemI am the ConstitutionWe The People#Flag #Country #Constitution… https://t.co/HLOKzhGzu9
968489992229187584|SheThePeopleTV|RT @SheThePeopleTV: “You are funding the killers.” @Emma4Change @tarakh489#EmmaGonzalez #Guncontrolhttps://t.co/R9KxCswN1D
968490002140352513|oyukay|RT @HarleyRouda: I have pledged to never take money from the NRA. My opponent has an A Rating with the NRA.Today we do something about…
968490004698882048|Christinelvb1|Dan Dicks of #PressForTruth breaks down implications of what teacher saw while also explaining the truth about so c… https://t.co/c3UYCKitbG
968490014857297920|HomemadeMonster|RT @jacob4kids: #TuesdayThoughts #BoycottNRADoes the @NRA promote violence with their attacks against #GunReformNow ?Retweet to spread…
